idPlayerNBA,namePlayer,summary,comments,dynastycomment
201152,Thaddeus Young, , ,
201565,Derrick Rose, , ,
201566,Russell Westbrook,"Despite all his flaws in 9-cat, not many can stuff a stat sheet quite like Westy and he’s still showing plenty of burst despite his age. ","This rank is either way too high or way too low depending on how many categories you’re targeting. If you somehow find yourself in a position in which you can take a massive hit to your percentages and turnovers, Mr. Triple-Double can still put up massive amounts of counting stats. The James Harden trade talks have stalled, and Kawhi and Paul George are as durable as crayons. Westy averaging 15/8/5 again is certainly on the table. ",You'll need to punt a couple categories to make Westy worth your time.
201567,Kevin Love, , ,
201568,Danilo Gallinari, , ,
201569,Eric Gordon, , ,
201572,Brook Lopez,"2022-23 was his last “hoorah” in the early rounds, but this old man is still a capable fantasy center for his blocks, 3s and efficiency. ","Old man Brook Lopez turned back the clock in emphatic fashion in 2022-23, somehow sneaking into the second-round of 9-cat leagues as the 22nd best player. He appeared in 78 games and averaged 30.4 minutes. Despite playing 13 games due to back surgery the year before, the Bucks had no choice but to play him big minutes with minimal depth and with their three studs missing big chunks of the season, especially Middleton. This poor guy probably spent the entire offseason in an ice bath.

Now 35 and with a new two-year contract secured, I would absolutely expect the Bucks to dial back Lopez’s workload even if Giannis is hobbling to start the season. Lopez’s 6.7% block rate is also considerably higher than his career average of 4.9%, so it’s probably unfair to expect him to continue at that level. During his previous healthy season in 2020-21, Lopez ranked 85th in 9-cat and that’s closer to what I’m expecting this season.",Can we squeeze two more years out of this blocks and 3s machine?
201577,Robin Lopez, , ,
201580,JaVale McGee, , ,
201587,Nicolas Batum, , ,
201599,DeAndre Jordan, , ,
201609,Goran Dragic, , ,
201933,Blake Griffin, , ,
201935,James Harden,Needs some clarity on his situation and fast. The hope here is that he has some motivation after falling off over the past few seasons. ,"James Harden’s rank could swing by a round or two in either direction depending on what happens with his situation. He’s clearly fed up with the 76ers, calling Daryl Morey a “liar” for not trading him after he picked up his player option. Heading into training camp, we’re looking at a very uncomfortable situation for both sides. 

On the purely basketball side of things, Harden is starting to show cracks in his armor, finishing outside the first round of 9-cat for the first time since 2011. He ranked 17th in per-game value, but injuries are piling up with four shortened seasons in a row. He’s no longer a No. 1 option on offense, but he’s still getting the job done on that front. He ranked in the 83rd percentile on ISOs which are his bread and butter, but he only got 6.1 possessions per game compared to his glory days in 2018-19 when he got 16.4(!). 

Harden is now a pass-first player, but he was a step slow in the pick-and-roll (57th percentile). Going into his age-34 season, Harden’s usual elite steal/block rates are fading fast, and he’s not getting to the free throw line nearly as much where he used to clean up. In fact, his 6.2 FTAs was his lowest mark since 2011-22. ",I will likely avoid at all costs. If you're demanding a trade every 3 months you're probably the problem.
201937,Ricky Rubio, , ,
201939,Stephen Curry,"The greatest shooter of all time is aging gracefully and has a couple years left in his prime, but missed games are piling up and his defense is declining. ","Shoulder and knee injuries limited Curry to 56 games in 2022-23, but missing games was a popular theme for many of the first-round picks such as Damian Lillard, James Harden, Anthony Davis and Tyrese Haliburton. However, Curry finished 6th in per-game value in 9-cat, and he was a juggernaut in the fantasy playoffs because he appeared in 18 straight games to close the season with the Warriors playing catch-up in the standings.

Despite being in his age-34 season, Curry maintained his absurd efficiency. His 49.3% shooting from the field was the second highest mark of his career, he shot a cool 42% from deep and hit over 91% of his free throws for the eight time in 14 seasons. All while averaging 29.4 points, 6.3 assists, 6.1 rebounds and 4.9 triples. 

There are some cracks in his armor though. For the first time in his career, Curry was held under a steal per game at 0.9. He has a career steal rate of 2.3%, but it plummeted down to 1.3% last season. You also have to be concerned about the durability. Even if you exclude the 2019-20 season when he played just five games, Curry is averaging 61 games in his last five seasons. Steve Kerr’s willingness to rest his guys doesn’t help his bottom line either. 

Jordan Poole was exiled from the Warriors in exchange for Chris Paul, though it’s hard to imagine a 38-year-old CP3 taking any more usage than Poole was allotted. With so many question marks around other first-round players, it’s a little easier to stomach Curry’s age, durability and declining steal rate in the middle of the first round.","Will have a maintenance plan, but Curry simply isn't slowing down on the court outside of lower steals."
201942,DeMar DeRozan,A safe and reliable veteran and you know exactly what you’re going to get. Grab him a round earlier if you’re punting 3s. ,"DeRozan is peaking in fantasy basketball a few years later than most would, putting together two consecutive seasons with third-round value in 9-cat with 76 games in 2021 and 74 games in 2022. He essentially matched his ADP of 31 last season, and he offset a slight decrease in scoring next to a healthy Zach LaVine with improved defensive numbers – he averaged a combined 1.6 stocks. 

Arguably the greatest mid-range shooter in the NBA, DeRozan ranked in the 97th percentile on post ups and the 88th percentile on ISOs. He has also become an elite playmaker too with at least five dimes per game over the last several years, ranking in the 89th percentile on pick-and-rolls. Going into his age-34 season, DeRozan will be returning to a similar roster and offensive setup, making him one of the easiest players to project in fantasy. He’s durable, efficient and gets the job done almost everywhere except 3s, making him a Jimmy Butler lite in fantasy. ",Aging like fine wine for anyone punting 3s.
201949,James Johnson, , ,
201950,Jrue Holiday,Still has plenty of gas left in the tank and hasn’t fell below the top-40 since the 2016-17 season. ,"Jrue is coming off another solid all-around season, narrowly beating his ADP of 42 as the 37th best player in 9-cat (per game). He played in 67 games for the third time in five seasons, and that’s considered durable in today’s NBA unfortunately. He averaged 19.3 points, 7.4 assists, a career-high 5.1 rebounds, 1.2 steals, 2.4 triples and 0.4 blocks, posting a 47/38/85 shooting line. 

The Bucks didn’t make any big changes over the offseason with Khris Middleton and Brook Lopez back on new deals, and from a fantasy perspective it makes it much easier to project. Jrue turned some heads in April when he said he was serious about retiring from the NBA when his contract was over in a couple years, so just keep that in mind if you’re in a dynasty league. 

As far as 2023-24 goes, the biggest areas where we could see some improvement are with his mid-range game and his steal rate. His mid-range shot dropped off by 9% compared to 2021-22, and his steal rate in 2022-23 was the lowest mark of his career. Stephen Curry named Jrue as one of the three toughest defenders he’s ever faced for a reason and I think we’ll see those defensive numbers climb back up, just not to the levels he spoiled us with in the past. Jrue is still an elite fantasy point guard and is likely to be available at an affordable ADP since his best days are behind him at age 33. ",Has hinted at a possible early retirment in two years.
201959,Taj Gibson, , ,
201976,Patrick Beverley, , ,
201980,Danny Green, , ,
201988,Patty Mills, , ,
202083,Wesley Matthews, , ,
202330,Gordon Hayward,"Zero confidence in Hayward’s ability to stay healthy, but he could still play a big role for the young Hornets as the leader of the second unit. ","Gordon Hayward is coming off another dud of a season, appearing in just 50 games and finishing outside the top-150 in 9-cat on a per-game basis. His body has completely failed him with 52 or less games in four straight seasons. He’s going into his age-33 season and the Hornets should probably do him a solid and bring him off the bench as a playmaker for the second unit. 

Charlotte will be deeper this season with the addition of Brandon Miller, while Miles Bridges will be returning from suspension. There isn’t much upside here, but if he buys into a reduce role he could have some late-round value for points, rebounds and dimes on good efficiency. ",
202331,Paul George,George still offers second-round per-game upside but his body is falling apart going into his age-33 season.,"Missed games have been the story for Paul George over the past four seasons with an average of 47 games played. That’s right. 47. His 56 games in 2022-23 were actually his best mark of the four. Unsurprisingly, he was strong on a per-game basis in 9-cat as the 25th best player, but he wasn’t available at much of a discount with an ADP of 21. 

George’s usage rate was down by 6% last season with Kawhi “healthy,” and the late addition of Russell Westbrook didn’t help either. With the Clippers returning their core for next season, that isn’t likely to change. George is heading into his age-33 season, so I’m also worried that his 2.1% steal rate from last season will become the new norm –his career steal percentage is 2.5%. 

George has been a second-round per-game value in 9-cat in all four seasons he’s been with the Clippers, but unless you’re in a fantasy draft with Brandon Miller who will obviously take George No. 1, I wouldn’t roll the dice on George until Round 3 due to his age and injury history.",A second-round producer who has had some of the worst injury luck in recent memory.
202397,Ish Smith, , ,
202681,Kyrie Irving,"So many people dislike him, so he’s usually always a great value in drafts. Has been a first-round per-game value in five straight years. ","Love him or hate him, Kyrie has been consistently churning out first-round fantasy value in 9-cat. In fact, he’s done it five years in a row (per-game basis). He has also missed a ton of games for a variety of reasons, but in 2022-23 he looked very fresh on his way to 27.1 points, 5.1 rebounds, 5.5 assists, 3.1 triples, 1.1 steals and 0.6 blocks on a 51/39/94 shooting line in 60 appearances. He was 9th in per-game value and 13th in totals, making him a great buy at his ADP of 17. 

Going into his age-31 season, there’s still so much to like. Although the Mavs failed to reach the playoffs despite their best efforts (wink, wink), Kyrie was actually a terrific fit next to Luka and his stats actually went up despite playing next to the second highest-usage player in the NBA. Kyrie thrives on and off the ball, and last season he ranked in the 99th percentile for pick-and-roll ball handling and was the most efficient high volume ISO scorer (h/t NBA University). His year-to-year stats have been incredibly consistent, so if he manages to stay north of 60 games it’s hard to imagine him not living up to his projected second-round ADP. ",First-year talent but has been known to produce headaches for owners.
202684,Tristan Thompson, , ,
202685,Jonas Valanciunas,The Pelicans seem to favor Larry Nance Jr. and the return of Zion will make J-Val an awkward piece of the puzzle. ,"Jonas Valanciunas lost a step in 2022-23, and that’s a shame considering that Zion missed the bulk of the season. Jaxson Hayes was not a threat, but Valanciunas lost some run to Larry Nance Jr. and only played 24 minutes a night. That’s about a six minute drop compared to 2021-22. With an ADP of 54, Valanciunas was a major bust and finished as a 10th-rounder in 9-cat.

His production in points and rebounds were stellar with Valancinuas leading the NBA in total rebound rate and scoring 20 points per 36 minutes. However, his defense tanked. In fact, Basketball Index graded him as having the 5th worst defensive dropoff compared to 2021-22. His block rate was pathetic for the second year in a row, and he posted the lowest steal rate of his career.

Valanciunas is trending down going into his age-31 season, and now he has to deal with the return of Zion. There are enough red flags here to push Valanciunas down draft boards, but he could still be a very serviceable mid-to-late round big if you can make up for his lack of block and steals elsewhere because his shooting percentages will always keep his value afloat.",Fell off a cliff in 2022-23. Poor fit alongside Zion.
202687,Bismack Biyombo, , ,
202691,Klay Thompson,"One of the greatest shooters of all time doesn’t offer much excitement outside of points and 3s, and there will be plenty of maintenance. ","Completely healthy for the first time in a few years, Klay got his groove back and averaged a career-high 4.4 triples (2nd only to Curry) on a 41% clip. The Warriors rested him sporadically, but the fact that he played 69 games and averaged 33 minutes a night considering the circumstances (knee and Achilles issues) is pretty surprising. 

Klay ranked 64th in 9-cat per-game value which was his second lowest finish ever, finishing just below his 2022 ADP. Even though his production in points and 3s was elite, Klay had mediocre steal/block rates compared to years past, and his mid-range game disappeared – he shot 37% compared to his career average of 43%. Hopefully we’ll see some positive regression there, and the addition of Chris Paul and departure of Jordan Poole may generate some easier looks for Klay and Steph. Klay was the 6th most heavily contested 3-point shooter and still hit an absurd 41%, so imagine what he’ll be able to do now. 

Klay is one of the greatest shooters in NBA history and his name carries a ton of weight in fantasy drafts for that reason, so his ADP is unlikely to be too desirable for a player that doesn’t have a complete stat set. The load management is also likely here to stay.",Fading fast. Doesn't offer much outside of points and 3s.
202692,Alec Burks, , ,
202693,Markieff Morris, , ,
202694,Marcus Morris Sr., , ,
202695,Kawhi Leonard,I have zero faith in Kawhi. Give me someone worse who will actually play more than 60 games. ,"Kawhi missed the entire 2021-22 season with an ACL tear and stumbled out of the gate in 2022-23 with low workloads and a pile of DNPs after appearing in the opener. He did ramp up nicely after the turn of the calendar year, and he ended up making 52 regular season appearances before tearing his MCL in the first playoff game. He was 13th in 9-cat per-game value, but only getting a half season out of someone with an ADP of 25 obviously wasn’t ideal. 

Heading into his age-32 season, there are even more red flags for Kawhi because he underwent a clean-up procedure on his right knee in early June, and while the Clippers insist he’ll be ready for the start of the season, you’d be foolish to call that a certainty. As for his supporting cast, Kawhi will be returning to a similar roster but it’s no secret that the Clippers are making a push for James Harden to take some of the burden off Kawhi and Paul George. 

Another concern is that Kawhi posted his lowest steal rate of his career at 2% last season, and his assist rate dropped by 5%. He’s still remarkably efficient and easy to build around, but the missed games and fragile knees will give me pause unless his ADP is properly discounted unlike 2022-23.","If you're only expecting 50 games out of him, this is the range you can take the risk."
202696,Nikola Vucevic,"His best days are behind him and he’s a step slow, but the dude’s fantasy resume speaks for itself. ","Mr. 82 played in every single game in 2022-23, ranking 26th in 9-cat per-game value and finishing fifth overall in totals due to his durability. He was a great return on investment with his ADP of 35, and despite a 3% drop in usage rate, his counting stats were basically identical to the year before but with better efficiency. 

Vucevic has played at least 70 games in three straight seasons, and he remains one of the most reliable players on the glass with five seasons in a row with double digit rebounds. Vucevic cleans up around the rim and shot 70% from there in 2022-23, guaranteeing a strong FG% on high volume. He also saw 66 touches per game last season despite sharing the court with LaVine and DeRozan, and we can probably pencil him in for a few dimes per night once again. 

Going into his age-33 season, Vucevic’s steal and block rates are trending down but he’s still in his prime on the offensive end. He’s easy to slot into most roster builds and you don’t have to punt anything, and historically his fantasy value is much higher than his name value which leads to him being affordable in drafts. I expect that to be the case again in 2023-24, and with Vucevic returning to a similar supporting cast, there are no red flags that come to mind.",Consistently finds ways into the early-rounds. Overall trajectory is pointed down.
202699,Tobias Harris,An above-average role player that may absorb some of Harden’s leftovers while maintaining elite efficiency.,"Tobias Harris underwhelmed from a statistical standpoint in 2022-23, but due to his uber-efficient play, he snuck inside the top-60 for 9-cat leagues. He had a shooting line of 50/38/87, and he only turned it over 1.2 times. Tobias is a good example of why standard 9-cat rankings can sometimes be flawed, as there’s just no shot that he was more impactful than 60 other players. That said, his ability to be a glue guy for any roster build and without any major weaknesses gave him a nice little boost. 

The 76ers could be on the verge of making some major changes, and Tobias could follow James Harden out the door with Philly eager to get his contract off the books. The nice thing about Tobias is that he can slot into a similar role almost anywhere he goes, as he’s a career 37% shooter from deep and a plus defender when he’s dialed in. He’s no spring chicken at age 31, but he’s coming off the best shooting season of his career and is as durable as it gets. No one wants to tell their friends that they have Tobias on their fantasy roster, so he’ll likely be a safe and boring pick at an affordable ADP.",Unexciting role player but he'll help across the board.
202704,Reggie Jackson, , ,
202709,Cory Joseph, , ,
202710,Jimmy Butler,Miami put his load management plan on pause to sneak into the postseason. But he’ll be 34 this season and the Lillard rumors make me a bit hesitant. ,"Butler is an interesting character, often bragging about his 3 AM practices while missing countless games for rest. But after averaging 55 games played in four seasons prior to 2022-23, he managed to take the court 64 times and averaged 22.9 points, 5.9 rebounds, 5.3 assists and 1.8 steals, 0.3 blocks and 0.6 triples on a 54/35/85 shooting line. As an added bonus in head-to-head leagues, Butler only sat out three times after January with Miami struggling in the standings. 

He was the 10th best 9-cat player in per-game value and sixth in totals, making him an outstanding value at his ADP of 30. His shooting percentages on high volume made him super easy to build around, and his lack of triples and blocks were the only categories he underwhelmed in compared to previous years. Going into his age-34 season, Butler showed during his NBA Finals run that he’s still at his peak, and even if his steal rate which ranked third in the NBA comes down a bit, there is still a ton to like here. If we get 60+ games of Jimmy B, he should outperform his ADP yet again. The uncertainty around a possible Damian Lillard trade is the only thing giving me pause.",Lillard rumors concern me. Butler also misses a ton of games for maintenance. Last year was the exception.
202711,Bojan Bogdanovic,Bojan’s usage will tank but there will always be a role for him because Cade will need floor spacing. ,"The ultimate points and 3s specialist with 21.6 points and 2.5 triples in 2022-23. Last season was the perfect storm for Bojan though, as the Pistons had zero firepower with Cade Cunnigham out of the lineup which gave the veteran the greenest of lights. Now the Pistons have a healthy Cade, a stud rookie in Ausar Thompson and a logjam in the frontcourt with Jalen Duren, Marvin Bagley, Isaiah Stewart and James Wiseman. What a mess. 

Bojan and Joe Harris will be needed to space the floor, but it’s not fair to expect Bojan to maintain anything close to a 25% usage rate again. ",Terrific shooter but his usage rate is going to tank.
202722,Davis Bertans, , ,
203076,Anthony Davis,"Was the 4th best player in 9-cat last season, but he lives in the locker room and he hasn’t eclipsed 62 games since 2017. ","Anthony day-to-day Davis lived up to his nickname, appearing in 57 games in 2022-23. His durability concerns made him affordable in drafts with an ADP of 18, and he did manage to finish 4th in per-game 9-cat value and 14th in totals. He missed 20 games in the middle of the season with a right foot stress injury, but he finished the season on a high note and only missed two games after January. 

Davis set career-highs in FG% (56.3) and rebounds (12.5) while putting up 25.9 points, 2.6 assists, 1.1 steals and 2.0 blocks. He drastically reduced his 3-point attempts to just 1.3 per game which partly explains the bump in FG%, and he hit 40% from mid-range (up about 5% from his norm). He also hit a respectable 78.4% from the line which is just shy of his career average of 79%. His production on the offensive glass was a nice surprise, as he pulled down 3.5 ORBs per game and generated the second most 2nd chance points per 100 possessions in the NBA. 

Going into his age-30 season, it would be nice to see Davis’ shot attempts get closer to 20 with LeBron another year older. And with the Lakers thin at center, it’s a safe bet that AD will primarily play the five which is fantastic for his block and rebounding rates. Because of the injury concerns, AD is a first-round talent that you can grab comfortably in the second round. “Be greedy when others are fearful.”",Lives in the locker room but still has a few years of first-round per-game upside left.
203078,Bradley Beal,"ill be the No. 3 option offensively with the Suns, but increased playmaking could offset the difference.","Beal wasted another year of his prime with the Wizards in 2022-23, and sadly for Washington, they waited until after the Wembanyama draft to hit reset. Injuries have been a common occurrence for Beal over the last several years, and last season was no different with just 50 games played. He ended up falling well short of his ADP of 35, finishing just outside the top 50 in per-game value. 

There were some positives though. Beal increased his efficiency and hit a career-high 50.6% from the field, scoring 23.2 points with 5.4 assists. His playmaking has come a long way, as Beal averaged over five dimes per 36 in four of his last five seasons. He’s a 69th percentile ball-handler in the pick-and-roll, something he’ll be tasked with often in Phoenix with no true point guard on the roster. He’ll also be a solid off-ball fit next to Devin Booker and Kevin Durant too, as he hit 40% of his catch-and-shoot 3s in 2022-23. Defensively, Beal’s steal rate has been underwhelming with 0.9 thefts per game in back-to-back seasons, but he did average 0.7 blocks for the second time in his career which was a nice little surprise. He’s not going to be an elite fantasy player in Phoenix, but if he maintains his efficiency and distributes the ball well he could very easily be a top-50 player.","Best years are behind him, but he's out of tank city and can focus on playmaking with the Suns."
203081,Damian Lillard,"Still a top-5 talent in fantasy with a couple years left in his prime, but the uncertainty about his future could make this an awkward situation to open 2023-24.","Lillard was one of the last players I researched, as I was hoping to finally have some clarity on his future. Heading into September, he’s still in a leverage battle with Portland’s front office and the NBA isn’t exactly thrilled with his trade demand. Although he’s insistent on joining Miami, the reality is that a package centered around Tyler Herro and mediocre draft picks/swaps isn’t going to get the job done. So for now, we wait. 

Dame’s 2022-23 season was nothing out of the ordinary from a statistical standpoint as the 7th best player in 9-cat, as he averaged a career-high in points (32.2) and triples (4.2), bouncing back from his injury-ravaged 2021-22 campaign. But sadly, the Blazers had some “hungry eyes” for Wembanyama and shut down Dame early, ultimately snagging Scoot Henderson instead. The writing was on the wall for Dame when he was rested in the first game after a 1.5 week All-Star break. He was done. 

Scoot is now the future in Portland, but Dame may have to stick around and mentor him for a while if a trade doesn’t surface. Every bit of this is far from ideal from a fantasy perspective. On one hand, maybe he’ll see less usage on a contender. But on the other, I sure as heck don’t want him on Portland’s tank-bound roster after the new year. I’m still taking him in the first round because he’s indisputably one of the best players in the NBA for at least a couple more years, and most of the first round has their own glaring red flags anyways. ",Just needs clarity on his future. Should age gracefully with his logo-range 3s.
203082,Terrence Ross, , ,
203083,Andre Drummond, , ,
203084,Harrison Barnes,"Efficient 3-point shooter and gets to the free throw line for fun, but Keegan is coming for his touches. ","He’s past his prime, but if you need a boring veteran to “set and forget” in your lineup, Barnes may be your guy. Barnes’ ability to get to the line (5.0 FTAs) while hitting them at a 87% clip gives him a nice floor, and he’ll quietly be a good source of points, 3s and rebounds on solid efficiency. He could lose a bit of steam with Keegan Murray coming for more touches. ",Keegan Murray is coming for his touches.
203085,Austin Rivers, , ,
203086,Meyers Leonard, , ,
203095,Evan Fournier, , ,
203109,Jae Crowder, , ,
203110,Draymond Green,Doesn’t have much juice left. Should still get the job done in assists and rebounds with decent steals/blocks.,"Draymond Green’s fantasy value has been in freefall, and in 2022-23 he ranked 94th in 9-cat which was his worst finish since 2013-14 when he was playing 21 minutes a night. Green’s athleticism has declined rapidly and he’s starting to look more and more like present day Boris Diaw. Green’s combined steal/block rates weren’t bad by any means, but they were the lowest marks of his career and used to be his bread and butter as a fantasy asset. 

Nowadays, his main appeal is his playmaking and rebounding. But with Chris Paul now in town, it may be hard for Green to keep his assist rate at an elite level. As a shooter, or non-shooter in this case, Green has seemingly given up on trying to improve. In 2022-23, Green hit 30% from deep and was somehow worse on long twos at 27%. He’s still effective at the rim with a 70% clip, but his offensive limitations are here to stay.","Declining steal/block rates, and his shot is getting worse by the year."
203114,Khris Middleton,"If his knee cooperates, Middleton could be a no-brainer value pick with a terrific fantasy resume prior to 2022-23. ","Khris Middletons’ 2022-23 season was delayed due to a knee injury and later interrupted by recurring soreness. In total, he made just 33 appearances and averaged 24 minutes a night, the lowest mark since his rookie campaign. He underwent surgery after Milwaukee’s early playoff exit to address his knee issue, and the Bucks were confident enough to extend him for three years and $102M. 

So given the circumstances, there’s no real need to evaluate his campaign too closely as he was essentially playing on one leg. In his previous four seasons, Middleton ranked 40th, 41st, 30th and 63rd in 9-cat per-game value. I would imagine that the knee issue is going to scare a lot of people away, and while I’m also concerned, we can use this to our advantage. If the injury risk is baked into his ADP, Middleton may actually turn into a really solid value pick on a Milwaukee team that won’t look much different than previous years when he was a fantasy dynamo.","Bucks still believe in him. Ready to bounce back after an injury-plagued season, but how much gas does he have left?"
203115,Will Barton, , ,
203200,Justin Holiday, , ,
203210,JaMychal Green, , ,
203458,Alex Len, , ,
203468,CJ McCollum,"Generally, I don’t want aging players who are trending down with a promising young player coming for their minutes. ","CJ McCollum managed to stay healthy for the first time in a couple years and started 75 games at point guard for the Pelicans in 2022-23. His counting stats were nothing out of the ordinary, as he offset a slight dip in points with a career-high 5.7 assists. But when you consider that the Pelicans were missing Brandon Ingram for half the season and Zion for most of it, CJ should’ve ranked higher than just 85th in 9-cat (per-game value). 

His shooting percentages (mainly FG%) were ultimately his downfall, and if you pull up his FG% by different distances, he was down across the board. Could he bounce back? Of course, but now he has a healthy Ingram and Zion to contend with. On top of that, many people (including myself) are expecting a mini breakout from second-year PG Dyson Daniels, so CJ has a mountain to climb if he wants to somehow get back into the top-75. 

Basketball Index graded him as an “F” in Defensive Impact, and I don’t see him making any big strides there in his age-32 season. There are enough red flags here to give me pause.",Was pretty awful in 2022-23. Dyson Daniels is a legit threat.
203469,Cody Zeller, , ,
